"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"RPS12",3.13793749184975e-126,0.272389095298561,1,0.999,6.11332982162169e-122,"2","RPS12",0.001
"RPL18",3.94369088859227e-126,0.264098924023121,0.996,0.992,7.68309858915545e-122,"2","RPL18",0.004
"RPS14",6.64231202629644e-125,0.260001439148637,0.999,0.998,1.29405522896307e-120,"2","RPS14",0.001
"RPS10",7.26110162201998e-120,0.32314908830981,0.953,0.896,1.41460781800193e-115,"2","RPS10",0.0569999999999999
"RPLP0",1.34342798021912e-119,0.300997564643467,0.977,0.94,2.61726639106289e-115,"2","RPLP0",0.037
"S100A6",1.35015114835443e-116,0.335274666112481,0.89,0.721,2.63036446722411e-112,"2","S100A6",0.169
"RPL12",1.92901435132437e-116,0.250916908359766,0.997,0.99,3.75810575925014e-112,"2","RPL12",0.00700000000000001
"RPL26",7.65892877730068e-116,0.255819332258796,0.997,0.994,1.49211250439372e-111,"2","RPL26",0.003
"SH3BGRL3",8.65274389889762e-89,0.296307799957567,0.934,0.817,1.68572756638323e-84,"2","SH3BGRL3",0.117
"KLRB1",1.47332485983968e-87,0.563446422770589,0.563,0.365,2.87033149193966e-83,"2","KLRB1",0.198
"VIM",3.84829613376722e-81,0.257349250575173,0.941,0.868,7.4972505278053e-77,"2","VIM",0.073
"RORA",1.34913303271694e-73,0.255678555580899,0.64,0.439,2.62838097433914e-69,"2","RORA",0.201
"TXNIP",2.77068536962384e-71,0.281119760893052,0.856,0.756,5.39784923710117e-67,"2","TXNIP",0.1
"GNLY",0,2.73136607760738,0.78,0.077,0,"3","GNLY",0.703
"GZMB",0,1.21520405174317,0.634,0.1,0,"3","GZMB",0.534
"PRF1",0,0.713067491199341,0.562,0.189,0,"3","PRF1",0.373
"KLRD11",0,0.695118005103457,0.595,0.189,0,"3","KLRD1",0.406
"CTSW",0,0.577427527378262,0.494,0.118,0,"3","CTSW",0.376
"NKG71",1.19780729824665e-295,0.931729853375584,0.779,0.434,2.33356817844412e-291,"3","NKG7",0.345
"KLRC2",1.94753222511114e-287,0.424841783544098,0.319,0.057,3.79418228096153e-283,"3","KLRC2",0.262
"TRDC1",4.62194228688506e-273,0.498820134731322,0.44,0.111,9.00446796330947e-269,"3","TRDC",0.329
"ZNF683",1.00828694326451e-268,0.519040284721243,0.351,0.077,1.96434462286791e-264,"3","ZNF683",0.274
"HOPX",5.67421789502016e-211,0.480216989826465,0.494,0.191,1.10545113030783e-206,"3","HOPX",0.303
"KLRC1",3.06139804668142e-201,0.503964098859335,0.323,0.084,5.96421567454475e-197,"3","KLRC1",0.239
"FCGR3A",2.82009342739211e-200,0.488692079413244,0.271,0.06,5.49410601524531e-196,"3","FCGR3A",0.211
"ZEB2",5.43597524187398e-166,0.460387729851613,0.513,0.229,1.05903669662189e-161,"3","ZEB2",0.284
"LITAF",1.40670071106366e-163,0.490080951341026,0.576,0.307,2.74053432529422e-159,"3","LITAF",0.269
"XIST",1.0266563619158e-160,0.456074015879922,0.439,0.162,2.00013192428436e-156,"3","XIST",0.277
"ITGB1",4.72549944171396e-156,0.528925174088763,0.691,0.426,9.20621801234714e-152,"3","ITGB1",0.265
"CCL51",1.34796552962145e-152,0.543590169915059,0.885,0.748,2.62610644480851e-148,"3","CCL5",0.137
"TYROBP",2.21058569040081e-145,0.368726036867814,0.322,0.104,4.30666304203885e-141,"3","TYROBP",0.218
"GZMH1",7.19191291395625e-135,0.456290708210111,0.44,0.194,1.40112847389696e-130,"3","GZMH",0.246
"CD63",7.17603939272614e-125,0.399878172527475,0.588,0.347,1.39803599449091e-120,"3","CD63",0.241
"FOSL2",1.63196686131552e-116,0.395965543994233,0.45,0.223,3.1793978392149e-112,"3","FOSL2",0.227
"METRNL",1.1295025149152e-107,0.3068974910965,0.33,0.136,2.2004967995578e-103,"3","METRNL",0.194
"GZMA1",4.73188189470819e-103,0.508875600907483,0.72,0.513,9.2186523072705e-99,"3","GZMA",0.207
"IFITM2",7.01116184143639e-99,0.360616590824798,0.724,0.536,1.36591454994864e-94,"3","IFITM2",0.188
