"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"PLEKHA11",2.10563646216171e-09,0.595476879587407,0.188,0.138,4.10220095558344e-05,"3","PLEKHA1",0.05
"ISG20",2.29382137105874e-09,0.420943744573178,0.4,0.343,4.46882279509663e-05,"3","ISG20",0.057
"TMCO11",2.55302554255819e-09,0.410947206032549,0.383,0.327,4.97380436201186e-05,"3","TMCO1",0.056
"TRGC21",2.57323366110407e-09,0.420515453340539,0.321,0.259,5.01317381856294e-05,"3","TRGC2",0.062
"ATP10A",3.06948611684276e-09,0.940619495408857,0.062,0.034,5.97997285283306e-05,"3","ATP10A",0.028
"STX111",3.36052503761503e-09,0.793073235219647,0.081,0.048,6.5469748782816e-05,"3","STX11",0.033
"LRMP1",3.45927254114288e-09,0.697870662213531,0.147,0.103,6.73935476465456e-05,"3","LRMP",0.044
"ACTR32",3.63908758544241e-09,0.297852997706082,0.554,0.505,7.0896704339589e-05,"3","ACTR3",0.049
"RASA31",3.71324653162209e-09,0.594466806065328,0.188,0.139,7.23414689290615e-05,"3","RASA3",0.049
"BST2",4.06799967689518e-09,0.425401466910409,0.314,0.255,7.9252769705272e-05,"3","BST2",0.059
"HASPIN",4.31900712973319e-09,1.55576942672517,0.022,0.008,8.4142896901462e-05,"3","HASPIN",0.014
"DGKD1",4.72344791974255e-09,0.562018134303768,0.196,0.145,9.20222123724243e-05,"3","DGKD",0.051
"ATP8A11",4.86501504303786e-09,0.546444140187069,0.209,0.158,9.47802230684635e-05,"3","ATP8A1",0.051
"CASP41",4.94088426586392e-09,0.437203763305354,0.349,0.293,9.62583072675609e-05,"3","CASP4",0.056
"CTSS1",5.04934744774512e-09,0.354050203530932,0.372,0.311,9.83713869769705e-05,"3","CTSS",0.061
"LYAR2",5.17976924835655e-09,0.464293522968205,0.267,0.211,0.000100912264496482,"3","LYAR",0.056
