"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"PIK3IP1",0,0.706567322276956,0.392,0.106,0,"0","PIK3IP1",0.286
"TLE4",0,0.706508564463884,0.529,0.28,0,"0","TLE4",0.249
"IKZF1",0,0.706075552343254,0.556,0.224,0,"0","IKZF1",0.332
"ITK",0,0.701111952603815,0.312,0.038,0,"0","ITK",0.274
"ITGA4",0,0.697634194345168,0.404,0.166,0,"0","ITGA4",0.238
"RPL37",0,0.696028649184163,0.982,0.716,0,"0","RPL37",0.266
"GPR174",0,0.69555301292778,0.305,0.046,0,"0","GPR174",0.259
"RPS6",0,0.69370661183733,0.958,0.657,0,"0","RPS6",0.301
"RPL36",0,0.690180602775267,0.964,0.638,0,"0","RPL36",0.326
"RSRP1",0,0.686333508646135,0.793,0.546,0,"0","RSRP1",0.247
"PTPN7",0,0.686274066311517,0.417,0.156,0,"0","PTPN7",0.261
"RCAN3",0,0.684681691607175,0.347,0.112,0,"0","RCAN3",0.235
"RPL18",0,0.677867343519893,0.947,0.625,0,"0","RPL18",0.322
"CAMK4",0,0.673058558026501,0.293,0.04,0,"0","CAMK4",0.253
"TMSB4X",0,0.67256460630027,0.992,0.939,0,"0","TMSB4X",0.053
"CCND2",0,0.672174519587266,0.513,0.262,0,"0","CCND2",0.251
"RPL19",0,0.670192975734724,0.968,0.658,0,"0","RPL19",0.31
"KMT2A",0,0.668607933416682,0.564,0.347,0,"0","KMT2A",0.217
"RPL27",0,0.666808262441062,0.917,0.608,0,"0","RPL27",0.309
"PRKCH",0,0.663038165073597,0.382,0.102,0,"0","PRKCH",0.28
"RPS13",0,0.658710109990803,0.934,0.63,0,"0","RPS13",0.304
"STK17A",0,0.658108284110011,0.577,0.296,0,"0","STK17A",0.281
"CALM1",0,0.657330813704063,0.911,0.63,0,"0","CALM1",0.281
"NOP53",0,0.656355249479262,0.633,0.39,0,"0","NOP53",0.243
"RPS2",0,0.656226682296674,0.979,0.683,0,"0","RPS2",0.296
"RPL38",0,0.65365643812897,0.96,0.667,0,"0","RPL38",0.293
"N4BP2L2",0,0.652871834526346,0.703,0.452,0,"0","N4BP2L2",0.251
"STAT4",0,0.65125032022159,0.308,0.07,0,"0","STAT4",0.238
"OXNAD1",0,0.650441204889565,0.297,0.051,0,"0","OXNAD1",0.246
"THEMIS",0,0.647410024888465,0.255,0.024,0,"0","THEMIS",0.231
"GPR171",0,0.643783817651438,0.256,0.037,0,"0","GPR171",0.219
"PPP1R10",0,0.64233592402387,0.713,0.476,0,"0","PPP1R10",0.237
"SPN",0,0.64157154769764,0.339,0.098,0,"0","SPN",0.241
"RPL7A",0,0.638257828551365,0.949,0.629,0,"0","RPL7A",0.32
"TRAT1",0,0.63702024738049,0.258,0.022,0,"0","TRAT1",0.236
"FAU",0,0.636922939894968,0.957,0.754,0,"0","FAU",0.203
"RPS16",0,0.636083527992666,0.953,0.658,0,"0","RPS16",0.295
"BRD2",0,0.631037348002903,0.74,0.551,0,"0","BRD2",0.189
"FUS",0,0.625768885143803,0.811,0.63,0,"0","FUS",0.181
"C12orf57",0,0.622285322774522,0.501,0.273,0,"0","C12orf57",0.228
"LAT",0,0.619229323397784,0.314,0.062,0,"0","LAT",0.252
"RPSA",0,0.618110177614666,0.902,0.58,0,"0","RPSA",0.322
"EEF1B2",0,0.615696203979808,0.842,0.559,0,"0","EEF1B2",0.283
"RPL13A",0,0.615163349820899,0.98,0.687,0,"0","RPL13A",0.293
"NACA",0,0.613341628000468,0.903,0.629,0,"0","NACA",0.274
"RPL12",0,0.612180531957441,0.949,0.633,0,"0","RPL12",0.316
"RPL17",0,0.606910708779963,0.53,0.287,0,"0","RPL17",0.243
"HNRNPH1",0,0.601505288160894,0.772,0.546,0,"0","HNRNPH1",0.226
"GIMAP4",0,0.601273875127501,0.43,0.148,0,"0","GIMAP4",0.282
"RPS20",0,0.598992766176596,0.945,0.62,0,"0","RPS20",0.325
"COMMD6",0,0.595602662358464,0.678,0.449,0,"0","COMMD6",0.229
"RPL22",0,0.592935018635233,0.903,0.6,0,"0","RPL22",0.303
"MBNL1",0,0.589285369676508,0.793,0.555,0,"0","MBNL1",0.238
"GCC2",0,0.587230749535332,0.605,0.394,0,"0","GCC2",0.211
"RPL29",0,0.581093550245841,0.94,0.622,0,"0","RPL29",0.318
"RPL36A",0,0.576053265818414,0.684,0.457,0,"0","RPL36A",0.227
"AES",0,0.575583419729046,0.571,0.368,0,"0","AES",0.203
"RPL35",0,0.571878896240302,0.945,0.623,0,"0","RPL35",0.322
"PFDN5",0,0.570224161798978,0.819,0.57,0,"0","PFDN5",0.249
"EIF4A2",0,0.56717134105357,0.728,0.511,0,"0","EIF4A2",0.217
"RPL18A",0,0.562670563697884,0.967,0.65,0,"0","RPL18A",0.317
"CORO1A",0,0.560937761713328,0.691,0.347,0,"0","CORO1A",0.344
"RPL36AL",0,0.557778836087546,0.778,0.544,0,"0","RPL36AL",0.234
"EEF1D",0,0.552127096499762,0.817,0.596,0,"0","EEF1D",0.221
"TRAF3IP3",0,0.550829849797672,0.375,0.129,0,"0","TRAF3IP3",0.246
"S100A4",0,0.548914093627871,0.76,0.467,0,"0","S100A4",0.293
"SARAF",0,0.545494824429008,0.682,0.493,0,"0","SARAF",0.189
"BTG1",0,0.542537901617549,0.95,0.75,0,"0","BTG1",0.2
"HINT1",0,0.537834068264808,0.705,0.48,0,"0","HINT1",0.225
"RPS5",0,0.535293029845668,0.881,0.585,0,"0","RPS5",0.296
"RPL15",0,0.53227936722657,0.958,0.655,0,"0","RPL15",0.303
"SRSF5",0,0.529050226541116,0.725,0.532,0,"0","SRSF5",0.193
"CDC42SE2",0,0.52831385605831,0.615,0.385,0,"0","CDC42SE2",0.23
"STK17B",0,0.525697902774641,0.668,0.425,0,"0","STK17B",0.243
"EEF1A1",0,0.516168256992823,0.993,0.762,0,"0","EEF1A1",0.231
"RPL37A",0,0.510926556726309,0.975,0.66,0,"0","RPL37A",0.315
"UBA52",0,0.507295504536496,0.933,0.728,0,"0","UBA52",0.205
"RPS8",0,0.490117958641481,0.972,0.649,0,"0","RPS8",0.323
"HSPA8",0,0.483529187811799,0.847,0.614,0,"0","HSPA8",0.233
"SON",0,0.478909908702228,0.839,0.61,0,"0","SON",0.229
"RPL31",0,0.478238797649226,0.89,0.595,0,"0","RPL31",0.295
"COX7C",0,0.475707929531134,0.781,0.538,0,"0","COX7C",0.243
"HNRNPA1",0,0.472449574131139,0.759,0.536,0,"0","HNRNPA1",0.223
"MALAT1",0,0.453671085803095,0.999,0.986,0,"0","MALAT1",0.013
"RPL4",0,0.449136425154752,0.811,0.556,0,"0","RPL4",0.255
"BTF3",0,0.447102361793024,0.77,0.541,0,"0","BTF3",0.229
"UQCRB",0,0.446634866920092,0.79,0.573,0,"0","UQCRB",0.217
"MT-ATP6",0,0.432762930716464,0.996,0.916,0,"0","MT-ATP6",0.08
"MTRNR2L12",0,0.430515438746943,0.9,0.756,0,"0","MTRNR2L12",0.144
"RPL7",0,0.416022278496325,0.888,0.625,0,"0","RPL7",0.263
"RACK1",0,0.398508682483421,0.874,0.592,0,"0","RACK1",0.282
"MT-CYB",0,0.376064948168206,0.989,0.876,0,"0","MT-CYB",0.113
"TPT1",0,0.36336992577791,0.99,0.968,0,"0","TPT1",0.022
"DDX5",0,0.36233401831586,0.962,0.837,0,"0","DDX5",0.125
"PTMA",0,0.320109390447676,0.988,0.701,0,"0","PTMA",0.287
"LTB",5.12854888215563e-308,0.66593352636925,0.535,0.248,1.25875103763628e-303,"0","LTB",0.287
"SRSF2",3.18141929884795e-307,0.539718387150697,0.704,0.516,7.80847552709241e-303,"0","SRSF2",0.188
"POLR2J3.1",1.0867834418456e-305,0.665088730368565,0.525,0.318,2.66740127966584e-301,"0","POLR2J3.1",0.207
"PNISR",3.01188748998259e-301,0.506732689060837,0.647,0.445,7.39237665541327e-297,"0","PNISR",0.202
"RNF125",4.57449088181346e-301,0.613562191185339,0.322,0.101,1.1227630420323e-296,"0","RNF125",0.221
"SEPT1",4.29223573606324e-300,0.572811634378093,0.316,0.094,1.05348633905936e-295,"0","SEPT1",0.222
"MT-ND5",2.97122982421666e-299,0.397327384129655,0.945,0.733,7.29258648055737e-295,"0","MT-ND5",0.212
"TMC8",5.11817687615625e-298,0.566250693785272,0.336,0.111,1.25620533248379e-293,"0","TMC8",0.225
"TBC1D10C",2.78181682739378e-296,0.523757947599872,0.348,0.116,6.8276912211553e-292,"0","TBC1D10C",0.232
"TC2N",2.84696949825406e-296,0.614007378901161,0.319,0.1,6.98760193651477e-292,"0","TC2N",0.219
"AKNA",1.26265535416891e-293,0.602474647914022,0.41,0.176,3.09906130127218e-289,"0","AKNA",0.234
"CD99",5.77854762513547e-293,0.560887281971897,0.544,0.327,1.41828672911325e-288,"0","CD99",0.217
"PTPN4",1.00116230978607e-292,0.617427700555502,0.296,0.086,2.45725277313892e-288,"0","PTPN4",0.21
"RPS9",4.3686981218112e-292,0.344896474941657,0.945,0.798,1.07225326701734e-287,"0","RPS9",0.147
"JUND",1.83712954891206e-291,0.312631995551921,0.901,0.728,4.50905076484977e-287,"0","JUND",0.173
"APOBEC3G",1.52576634962228e-289,0.698418932436762,0.35,0.129,3.74484092851292e-285,"0","APOBEC3G",0.221
"RPLP0",2.85781859159273e-289,0.39501200278854,0.862,0.598,7.01422995120519e-285,"0","RPLP0",0.264
"NPM1",9.38985380928694e-286,0.398774110585981,0.769,0.537,2.30464571895139e-281,"0","NPM1",0.232
"TMSB10",2.01735371398778e-285,0.27680879689849,0.974,0.723,4.9513929556116e-281,"0","TMSB10",0.251
"UBB",4.07378084848623e-285,0.500339437127567,0.839,0.63,9.9986877145246e-281,"0","UBB",0.209
"CITED2",3.62929712018789e-284,0.821659665934752,0.438,0.224,8.90774685178915e-280,"0","CITED2",0.214
"RARRES3",1.09299475692475e-283,0.379597764133604,0.542,0.292,2.6826463313961e-279,"0","RARRES3",0.25
"RBM39",1.28592856927452e-283,0.415881938100385,0.784,0.6,3.15618308042739e-279,"0","RBM39",0.184
"TUBA4A",2.25086424919139e-282,0.652984711325503,0.46,0.237,5.52452121321534e-278,"0","TUBA4A",0.223
"INPP4B",2.259712898033e-281,0.600141649389577,0.29,0.082,5.5462393369322e-277,"0","INPP4B",0.208
"ODF2L",1.76491970600918e-279,0.658008375406707,0.375,0.16,4.33181892642893e-275,"0","ODF2L",0.215
"CIRBP",1.69587884192621e-277,0.489508890716953,0.595,0.397,4.16236502962369e-273,"0","CIRBP",0.198
"GOLGA8B",1.2939656622174e-275,0.577683838463348,0.291,0.085,3.17590932134638e-271,"0","GOLGA8B",0.206
"DDIT4",4.31192144747958e-273,0.622834030671921,0.553,0.341,1.05831800006939e-268,"0","DDIT4",0.212
"ARGLU1",2.64215532639057e-270,0.520082608759,0.597,0.409,6.48490603309301e-266,"0","ARGLU1",0.188
"RBL2",2.43678990397614e-269,0.594968557002967,0.415,0.205,5.98085714031903e-265,"0","RBL2",0.21
"PRKACB",5.91092260148824e-267,0.625409304410065,0.345,0.138,1.45077684330927e-262,"0","PRKACB",0.207
"IER2",8.24457279811686e-267,0.562308067590064,0.789,0.673,2.0235479475698e-262,"0","IER2",0.116
"ARHGEF1",1.17604958962185e-266,0.551249622610204,0.413,0.203,2.88649611276788e-262,"0","ARHGEF1",0.21
"PRPF38B",3.05395639474599e-262,0.568716362032744,0.576,0.4,7.49563057526455e-258,"0","PRPF38B",0.176
"HSPE1",5.26082563718484e-262,0.547417733965364,0.702,0.509,1.29121704439065e-257,"0","HSPE1",0.193
"IPCEF1",3.22937548509364e-261,0.456608035933566,0.264,0.061,7.92617919061384e-257,"0","IPCEF1",0.203
"NEU1",1.32558789583543e-260,0.819799012250467,0.461,0.266,3.25352293153848e-256,"0","NEU1",0.195
"SYNE2",2.41452073147317e-260,0.416331589117018,0.608,0.343,5.92619968332774e-256,"0","SYNE2",0.265
"SNHG12",6.77028564014711e-260,0.633929336655506,0.397,0.186,1.66169890751771e-255,"0","SNHG12",0.211
"MPHOSPH8",1.18699701264708e-257,0.587296825416708,0.501,0.318,2.91336546784099e-253,"0","MPHOSPH8",0.183
"CCSER2",4.37512325209049e-257,0.623146140197137,0.386,0.189,1.07383025099309e-252,"0","CCSER2",0.197
"PIP4K2A",5.47952291560116e-256,0.611557130313565,0.419,0.219,1.34489410440515e-251,"0","PIP4K2A",0.2
"AP001160.1",6.97378686293533e-255,0.603601678181186,0.262,0.069,1.71164624763885e-250,"0","AP001160.1",0.193
"HLA-F",3.4130719616496e-251,0.450642528494031,0.621,0.441,8.37704382267278e-247,"0","HLA-F",0.18
"MT-CO1",4.74100678580392e-251,0.309808601555057,0.997,0.857,1.16363270550771e-246,"0","MT-CO1",0.14
"SEPT6",5.73524691864034e-251,0.560406555383329,0.471,0.268,1.40765900371109e-246,"0","SEPT6",0.203
"SYNRG",3.68896717486618e-245,0.569348615385582,0.412,0.22,9.05420103399155e-241,"0","SYNRG",0.192
"ATP5MG",2.42884478012604e-243,0.386969159274669,0.727,0.542,5.96135662834136e-239,"0","ATP5MG",0.185
"HNRNPDL",6.6995939940822e-241,0.412871929830672,0.718,0.537,1.64434834990753e-236,"0","HNRNPDL",0.181
"FNBP1",2.53428263192046e-234,0.444082900554389,0.559,0.345,6.22014329178558e-230,"0","FNBP1",0.214
"UBE2S",5.29135096744764e-234,0.634867765269081,0.54,0.347,1.29870918145035e-229,"0","UBE2S",0.193
"RPS11",5.70101992291964e-233,0.250715470700044,0.955,0.72,1.3992583298814e-228,"0","RPS11",0.235
"GYPC",1.98403862682245e-231,0.511670635891186,0.363,0.17,4.86962440567303e-227,"0","GYPC",0.193
"TMA7",5.51477753594846e-229,0.344085300410812,0.814,0.635,1.35354699842319e-224,"0","TMA7",0.179
"ANKRD12",7.82765306640002e-227,0.304431958582932,0.76,0.594,1.92121916861722e-222,"0","ANKRD12",0.166
"PARP8",3.26214806491738e-225,0.408783805068064,0.432,0.224,8.00661621053322e-221,"0","PARP8",0.208
"DUSP2",1.12170177796657e-224,0.541094070218426,0.559,0.341,2.75310484384116e-220,"0","DUSP2",0.218
"TTC39C",2.18336733966336e-223,0.510945750673072,0.254,0.078,5.35885679846975e-219,"0","TTC39C",0.176
"OST4",4.38851377257862e-222,0.404827150360487,0.667,0.484,1.0771168203417e-217,"0","OST4",0.183
"MYL12A",8.6167119560827e-222,0.3688822125011,0.81,0.659,2.11488578250094e-217,"0","MYL12A",0.151
"SYNE1",2.24867976768685e-221,0.589792087813543,0.343,0.154,5.51915962181062e-217,"0","SYNE1",0.189
"TNRC6C",2.55388281830666e-221,0.525602091574814,0.309,0.125,6.26824998925186e-217,"0","TNRC6C",0.184
"AMD1",6.81779376510544e-220,0.480513507775959,0.625,0.469,1.67335930170748e-215,"0","AMD1",0.156
"CSKMT",2.00792160605172e-219,0.611425649488144,0.303,0.123,4.92824278989335e-215,"0","CSKMT",0.18
"TNF",2.0273712723776e-219,0.743728220252326,0.354,0.156,4.97598005092359e-215,"0","TNF",0.198
"PDE3B",4.04701107334979e-218,0.483836672676675,0.279,0.091,9.93298397842973e-214,"0","PDE3B",0.188
"MAF",6.32241112622924e-217,0.634097324986504,0.33,0.139,1.5517725868217e-212,"0","MAF",0.191
"ANXA1",3.03713865366052e-216,0.56050905552029,0.557,0.349,7.45435311154438e-212,"0","ANXA1",0.208
"PBXIP1",9.41589394889342e-216,0.485227271399519,0.299,0.115,2.3110370108164e-211,"0","PBXIP1",0.184
"ARHGDIB",4.98953361477125e-214,0.297403694560268,0.748,0.505,1.22463113040946e-209,"0","ARHGDIB",0.243
"RASAL3",9.22026633343872e-211,0.478423068672579,0.256,0.083,2.2630221688792e-206,"0","RASAL3",0.173
"MT-ND2",9.4632458305988e-211,0.271264656603289,0.989,0.887,2.32265905666217e-206,"0","MT-ND2",0.102
"AC025164.1",8.91441995943183e-209,0.576413987036207,0.261,0.086,2.18795523484295e-204,"0","AC025164.1",0.175
"ARAP2",4.75244061443159e-207,0.515059633238776,0.387,0.201,1.16643902440609e-202,"0","ARAP2",0.186
"ARHGAP15",9.20870667399919e-207,0.382371761372781,0.406,0.203,2.26018496606636e-202,"0","ARHGAP15",0.203
"SUN2",1.75022065958468e-204,0.486575114512147,0.372,0.195,4.29574158688463e-200,"0","SUN2",0.177
"PCSK7",3.59910206875906e-203,0.599483659738564,0.429,0.265,8.83363611756224e-199,"0","PCSK7",0.164
"LUC7L3",2.99305101506504e-201,0.481476407009648,0.567,0.416,7.34614441137563e-197,"0","LUC7L3",0.151
"CCDC88C",9.32057928899055e-200,0.520574640649829,0.317,0.146,2.28764298068984e-195,"0","CCDC88C",0.171
"SNHG8",1.49011164588846e-199,0.477116972451872,0.617,0.456,3.65733002366862e-195,"0","SNHG8",0.161
"TUBB4B",1.01444880774499e-198,0.575997132466291,0.616,0.472,2.4898631537293e-194,"0","TUBB4B",0.144
"LDHB",2.97051604755599e-197,0.471628583641409,0.488,0.322,7.29083458712142e-193,"0","LDHB",0.166
"SAP18",3.13631800003353e-197,0.582857594684357,0.617,0.496,7.69777889928229e-193,"0","SAP18",0.121
"SRRM1",2.08860862872457e-196,0.42480672657357,0.625,0.478,5.12628101834157e-192,"0","SRRM1",0.147
"HSP90AA1",2.63250848848211e-196,0.436981411909951,0.962,0.851,6.46122883413049e-192,"0","HSP90AA1",0.111
"DDX3Y",9.8854284081829e-196,0.346314479191902,0.364,0.158,2.42627954850441e-191,"0","DDX3Y",0.206
"MZT2B",1.3774472443977e-191,0.447304186403373,0.5,0.342,3.38080651664972e-187,"0","MZT2B",0.158
"HELB",1.54175561777356e-191,0.391231761753547,0.3,0.121,3.78408498826343e-187,"0","HELB",0.179
"FAM118A",2.19468470339739e-191,0.566694062508747,0.334,0.167,5.38663413601856e-187,"0","FAM118A",0.167
"ZRANB2",3.25969530959351e-191,0.544021916534881,0.447,0.297,8.00059616786631e-187,"0","ZRANB2",0.15
"SEPT7",2.94227611932758e-189,0.408112240705846,0.656,0.515,7.22152250727762e-185,"0","SEPT7",0.141
